Wavelength,Flux
3230,3.331660102e-16
3230.862383,3.214922022e-16
3231.724766,3.098184206e-16
3232.587149,3.114666937e-16
3233.449532,3.131149934e-16
3234.311915,3.016093213e-16
3235.174298,2.901036228e-16
3236.036681,2.931847316e-16
3236.899064,2.962658934e-16
3237.761447,3.195550113e-16
3238.62383,3.428442087e-16
3239.486213,3.344001902e-16
3240.348596,3.259560393e-16
3241.210979,3.048466548e-16
3242.073362,2.837372173e-16
3242.935745,2.913992127e-16
3243.798128,2.990613404e-16
3244.660511,3.100796773e-16
3245.522894,3.210980142e-16
3246.385277,3.105814914e-16
3247.24766,3.000647832e-16
3248.110043,3.055654152e-16
3248.972426,3.11066153e-16
3249.834809,3.238364188e-16
3250.697192,3.36606764e-16
3251.559575,3.35456705e-16
3252.421958,3.343065136e-16
3253.284341,3.407533343e-16
3254.146724,3.472002344e-16
3255.009107,3.402222711e-16
3255.87149,3.332441755e-16
3256.733873,3.175313438e-16
3257.596256,3.018184061e-16
3258.458639,2.911132332e-16
3259.321022,2.804081396e-16
3260.183405,2.99585389e-16
3261.045788,3.187630355e-16
3261.908171,3.257376901e-16
3262.770554,3.327121859e-16
3263.632937,3.448983695e-16
3264.49532,3.57084606e-16
3265.357703,3.611603433e-16
3266.220086,3.652359217e-16
3267.082469,3.657469473e-16
3267.944852,3.662578934e-16
3268.807235,3.594311255e-16
3269.669618,3.526042252e-16
3270.532001,3.55293449e-16
3271.394384,3.57982858e-16
3272.256767,3.648902529e-16
3273.11915,3.717977536e-16
3273.981533,3.666786041e-16
3274.843916,3.615592164e-16
3275.706299,3.592501516e-16
3276.568682,3.569411398e-16
3277.431065,3.633612525e-16
3278.293448,3.697815505e-16
3279.155831,3.755162812e-16
3280.018214,3.812509589e-16
3280.880597,3.744065621e-16
3281.74298,3.675618742e-16
3282.605363,3.762749845e-16
3283.467746,3.849884918e-16
3284.330129,3.902721245e-16
3285.192512,3.955556513e-16
3286.054895,3.970341209e-16
3286.917278,3.985124581e-16
3287.779661,3.990455859e-16
3288.642044,3.995786873e-16
3289.504427,3.967574323e-16
3290.36681,3.939360714e-16
3291.229193,3.893803312e-16
3292.091576,3.84824538e-16
3292.953959,4.056973886e-16
3293.816342,4.265709803e-16
3294.678725,4.305588379e-16
3295.541108,4.345461661e-16
3296.403491,4.267512395e-16
3297.265874,4.189559424e-16
3298.128257,4.185677101e-16
3298.99064,4.181797161e-16
3299.853023,4.229188389e-16
3300.715406,4.276581471e-16
3301.577789,4.312710867e-16
3302.440172,4.348839734e-16
3303.302555,4.347262135e-16
3304.164938,4.345682948e-16
3305.027321,4.29303138e-16
3305.889704,4.240377959e-16
3306.752087,4.168260515e-16
3307.61447,4.096142542e-16
3308.476853,4.160199673e-16
3309.339236,4.224261569e-16
3310.201619,4.20062485e-16
3311.064002,4.176984955e-16
3311.926385,4.132950624e-16
3312.788768,4.088915763e-16
3313.651151,4.11749439e-16
3314.513534,4.146075928e-16
3315.375917,4.2147973e-16
3316.2383,4.283520259e-16
3317.100683,4.2658133e-16
3317.963066,4.248102635e-16
3318.825449,4.339045122e-16
3319.687832,4.429992108e-16
3320.550215,4.57837031e-16
3321.412598,4.726750895e-16
3322.274981,4.770289447e-16
3323.137364,4.813824294e-16
3323.999747,4.788429187e-16
3324.86213,4.763030904e-16
3325.724513,4.70151249e-16
3326.586896,4.639991957e-16
3327.449279,4.453192076e-16
3328.311662,4.266386635e-16
3329.174045,4.206049832e-16
3330.036428,4.145718851e-16
3330.898811,4.251533119e-16
3331.761194,4.357355062e-16
3332.623577,4.481248454e-16
3333.48596,4.605142904e-16
3334.348343,4.508277275e-16
3335.210726,4.411400794e-16
3336.073109,4.258053949e-16
3336.935492,4.104704722e-16
3337.797875,4.166744856e-16
3338.660258,4.228795843e-16
3339.522641,4.359617434e-16
3340.385024,4.490442467e-16
3341.247407,4.453663767e-16
3342.10979,4.416876862e-16
3342.972173,4.485764728e-16
3343.834556,4.554658152e-16
3344.696939,4.721773518e-16
3345.559322,4.888894177e-16
3346.421705,4.773473232e-16
3347.284088,4.658037465e-16
3348.146471,4.47172198e-16
3349.008854,4.28540226e-16
3349.871237,4.332683375e-16
3350.73362,4.379977459e-16
3351.596003,4.439286177e-16
3352.458386,4.498595689e-16
3353.320769,4.517307176e-16
3354.183152,4.536017075e-16
3355.045535,4.530470597e-16
3355.907918,4.524923061e-16
3356.770301,4.530174136e-16
3357.632684,4.53542574e-16
3358.495067,4.638840522e-16
3359.35745,4.742260598e-16
3360.219833,4.84148839e-16
3361.082216,4.940716182e-16
3361.944599,5.003580321e-16
