Wavelength,Flux
3492.135,1.635549301e-14
3494.254376,1.59317004e-14
3496.373752,1.550790949e-14
3498.493128,1.510248225e-14
3500.612504,1.469705502e-14
3502.73188,1.524078579e-14
3504.851256,1.578451657e-14
3506.970632,1.530369154e-14
3509.090008,1.482286651e-14
3511.209384,1.440155741e-14
3513.32876,1.39802483e-14
3515.448136,1.450784988e-14
3517.567512,1.503545145e-14
3519.686888,1.533141493e-14
3521.806264,1.562737841e-14
3523.92564,1.504693383e-14
3526.045016,1.446648926e-14
3528.164392,1.455439434e-14
3530.283768,1.464230111e-14
3532.403144,1.480364056e-14
3534.52252,1.496498001e-14
3536.641896,1.482708643e-14
3538.761272,1.468919286e-14
3540.880648,1.404631602e-14
3543.000024,1.340344004e-14
3545.1194,1.335654237e-14
3547.238776,1.330964385e-14
3549.358152,1.320959401e-14
3551.477528,1.310954417e-14
3553.596904,1.320097121e-14
3555.71628,1.329239826e-14
3557.835656,1.362493916e-14
3559.955032,1.395747921e-14
3562.074408,1.407265113e-14
3564.193784,1.418782135e-14
3566.31316,1.384842541e-14
3568.432536,1.350903032e-14
3570.551912,1.371085117e-14
3572.671288,1.391267286e-14
3574.790664,1.403863344e-14
3576.91004,1.416459401e-14
3579.029416,1.384641032e-14
3581.148792,1.352822832e-14
3583.268168,1.383068685e-14
3585.387544,1.413314452e-14
3587.50692,1.393135078e-14
3589.626296,1.372955789e-14
3591.745672,1.385948766e-14
3593.865048,1.398941659e-14
3595.984424,1.358785775e-14
3598.1038,1.318629976e-14
3600.223176,1.318968958e-14
3602.342552,1.319308025e-14
3604.461928,1.290372109e-14
3606.581304,1.261436278e-14
3608.70068,1.261103987e-14
3610.820056,1.260771781e-14
3612.939432,1.28595136e-14
3615.058808,1.311130854e-14
3617.178184,1.335945955e-14
3619.29756,1.360760971e-14
3621.416936,1.352552798e-14
3623.536312,1.344344625e-14
3625.655688,1.355981249e-14
3627.775064,1.367617957e-14
3629.89444,1.38423632e-14
3632.013816,1.400854598e-14
3634.133192,1.374985703e-14
3636.252568,1.349116894e-14
3638.371944,1.329126408e-14
3640.49132,1.309136007e-14
3642.610696,1.337619184e-14
3644.730072,1.366102276e-14
3646.849448,1.353184007e-14
3648.968824,1.340265823e-14
3651.0882,1.334207504e-14
3653.207576,1.328149101e-14
3655.326952,1.287143389e-14
3657.446328,1.246137847e-14
3659.565704,1.27531432e-14
3661.68508,1.304490624e-14
3663.804456,1.307193337e-14
3665.923832,1.30989588e-14
3668.043208,1.277078774e-14
3670.162584,1.244261838e-14
3672.28196,1.249320065e-14
3674.401336,1.254378376e-14
3676.520712,1.258759739e-14
3678.640088,1.263140932e-14
3680.759464,1.230577851e-14
3682.87884,1.198014771e-14
3684.998216,1.181331525e-14
3687.117592,1.164648364e-14
3689.236968,1.199739923e-14
3691.356344,1.234831312e-14
3693.47572,1.204993899e-14
3695.595096,1.17515657e-14
3697.714472,1.182529907e-14
3699.833848,1.189903245e-14
3701.953224,1.181737678e-14
3704.0726,1.173572111e-14
3706.191976,1.169020918e-14
3708.311352,1.16446981e-14
3710.430728,1.165034018e-14
3712.550104,1.165598227e-14
3714.66948,1.153201561e-14
3716.788856,1.140805064e-14
3718.908232,1.149858576e-14
3721.027608,1.158912003e-14
3723.146984,1.147464183e-14
3725.26636,1.136016364e-14
3727.385736,1.143737069e-14
3729.505112,1.15145769e-14
3731.624488,1.160035084e-14
3733.743864,1.168612309e-14
3735.86324,1.136696531e-14
3737.982616,1.104780753e-14
3740.101992,1.077347135e-14
3742.221368,1.049913686e-14
3744.340744,1.068075258e-14
3746.46012,1.086236746e-14
3748.579496,1.093496919e-14
3750.698872,1.100756923e-14
3752.818248,1.080432114e-14
3754.937624,1.060107304e-14
3757.057,1.055949897e-14
3759.176376,1.05179249e-14
3761.295752,1.031703579e-14
3763.415128,1.011614752e-14
3765.534504,1.000846507e-14
3767.65388,9.900783467e-15
3769.773256,9.858247167e-15
3771.892632,9.815711713e-15
3774.012008,1.000495158e-14
3776.131384,1.019418975e-14
3778.25076,1.015650526e-14
3780.370136,1.011881991e-14
3782.489512,1.000660583e-14
3784.608888,9.89439091e-15
3786.728264,9.738515672e-15
3788.84764,9.58264128e-15
3790.967016,9.566155478e-15
3793.086392,9.54967137e-15
3795.205768,9.611077023e-15
3797.325144,9.67248183e-15
3799.44452,9.643977477e-15
3801.563896,9.615473972e-15
3803.683272,9.666448414e-15
3805.802648,9.717423704e-15
3807.922024,9.862827921e-15
3810.0414,1.000823129e-14
3812.160776,1.013500586e-14
3814.280152,1.026178044e-14
3816.399528,1.037088167e-14
3818.518904,1.047998375e-14
3820.63828,1.078741436e-14
3822.757656,1.109484412e-14
3824.877032,1.130847176e-14
3826.996408,1.152210024e-14
3829.115784,1.181540065e-14
3831.23516,1.210869936e-14
3833.354536,1.223951597e-14
3835.473912,1.237033174e-14
3837.593288,1.246543152e-14
3839.712664,1.256053045e-14
3841.83204,1.269692732e-14
3843.951416,1.283332588e-14
3846.070792,1.325406747e-14
3848.190168,1.367480737e-14
3850.309544,1.378901283e-14
3852.42892,1.390321913e-14
3854.548296,1.416537836e-14
3856.667672,1.442753591e-14
3858.787048,1.444393616e-14
3860.906424,1.446033811e-14
3863.0258,1.456321703e-14
3865.145176,1.466609765e-14
3867.264552,1.482731174e-14
3869.383928,1.498852413e-14
3871.503304,1.510360542e-14
3873.62268,1.52186884e-14
3875.742056,1.551894972e-14
3877.861432,1.581921273e-14
3879.980808,1.604972428e-14
3882.100184,1.628023583e-14
3884.21956,1.633276203e-14
3886.338936,1.638528824e-14
3888.458312,1.65026328e-14
3890.577688,1.661997735e-14
3892.697064,1.693914276e-14
3894.81644,1.725830646e-14
3896.935816,1.725216209e-14
3899.055192,1.724601602e-14
3901.174568,1.723915505e-14
