Wavelength,Flux
3127.816,2.415207511e-15
3129.32246,5.965496346e-15
3130.82892,9.51578497e-15
3132.33538,9.287741678e-15
3133.84184,9.059696691e-15
3135.3483,9.571562936e-15
3136.85476,1.008342918e-14
3138.36122,4.501760733e-15
3139.86768,-1.079917245e-15
3141.37414,-1.590814272e-15
3142.8806,-2.101700924e-15
3144.38706,-6.828695976e-16
3145.89352,7.359665991e-16
3147.39998,2.242786543e-15
3148.90644,3.749606911e-15
3150.4129,2.38885801e-15
3151.91936,1.028098945e-15
3153.42582,3.162776979e-15
3154.93228,5.297469413e-15
3156.43874,3.447114717e-15
3157.9452,1.596741809e-15
3159.45166,6.203082735e-15
3160.95812,1.08094567e-14
3162.46458,7.018202022e-15
3163.97104,3.226899915e-15
3165.4775,2.791174943e-15
3166.98396,2.355470513e-15
3168.49042,3.120247879e-15
3169.99688,3.88503308e-15
3171.50334,4.926809489e-15
3173.0098,5.968588017e-15
3174.51626,3.390453506e-15
3176.02272,8.122912027e-16
3177.52918,1.948472028e-15
3179.03564,3.084683506e-15
3180.5421,2.671494905e-15
3182.04856,2.258292964e-15
3183.55502,2.786176814e-15
3185.06148,3.314069134e-15
3186.56794,2.293989897e-15
3188.0744,1.273895413e-15
3189.58086,2.726294972e-15
3191.08732,4.178719731e-15
3192.59378,4.096828162e-15
3194.10024,4.014919653e-15
3195.6067,4.621313504e-15
3197.11316,5.227715403e-15
3198.61962,5.618383515e-15
3200.12608,6.009049086e-15
3201.63254,6.692193017e-15
3203.139,7.375340335e-15
3204.64546,5.877375274e-15
3206.15192,4.379382683e-15
3207.65838,4.376803045e-15
3209.16484,4.374242888e-15
3210.6713,4.825010105e-15
3212.17776,5.275783252e-15
3213.68422,4.208271864e-15
3215.19068,3.140738876e-15
3216.69714,3.724732518e-15
3218.2036,4.308750724e-15
3219.71006,5.969048803e-15
3221.21652,7.629363822e-15
3222.72298,7.61691752e-15
3224.22944,7.604444113e-15
3225.7359,7.022771342e-15
3227.24236,6.441088829e-15
3228.74882,6.689129299e-15
3230.25528,6.937184168e-15
3231.76174,6.843380351e-15
3233.2682,6.749571029e-15
3234.77466,5.737647872e-15
3236.28112,4.725707774e-15
3237.78758,5.21454997e-15
3239.29404,5.70341927e-15
3240.8005,5.608220814e-15
3242.30696,5.513011346e-15
3243.81342,6.75342757e-15
3245.31988,7.993870052e-15
3246.82634,7.361842865e-15
3248.3328,6.729777986e-15
3249.83926,7.147085285e-15
3251.34572,7.564414183e-15
3252.85218,6.879155635e-15
3254.35864,6.19387464e-15
3255.8651,6.446969779e-15
3257.37156,6.700084823e-15
3258.87802,7.173823574e-15
3260.38448,7.647567407e-15
3261.89094,7.259407783e-15
3263.3974,6.87122783e-15
3264.90386,6.597219871e-15
3266.41032,6.323214454e-15
3267.91678,6.202603315e-15
3269.42324,6.081995564e-15
3270.9297,7.126505772e-15
3272.43616,8.171043933e-15
3273.94262,8.069755733e-15
3275.44908,7.968439581e-15
3276.95554,8.571203473e-15
3278.462,9.173985153e-15
3279.96846,8.878651869e-15
3281.47492,8.583294869e-15
3282.98138,8.71062679e-15
3284.48784,8.837970571e-15
3285.9943,9.839097446e-15
3287.50076,1.084024804e-14
3289.00722,1.094536229e-14
3290.51368,1.105045282e-14
3292.02014,1.033175214e-14
3293.5266,9.61302774e-15
3295.03306,9.300832572e-15
