Wavelength,Flux
8788,8.01780805e-15
8790.872514,7.779088754e-15
8793.745028,7.540368612e-15
8796.617542,7.311484216e-15
8799.490056,7.082598973e-15
8802.36257,6.8627791e-15
8805.235084,6.642958803e-15
8808.107598,6.408200234e-15
8810.980112,6.173441664e-15
8813.852626,5.947233469e-15
8816.72514,5.72102485e-15
8819.597654,5.536597402e-15
8822.470168,5.352169954e-15
8825.342682,5.196622517e-15
8828.215196,5.041074657e-15
8831.08771,4.894269025e-15
8833.960224,4.747462968e-15
8836.832738,4.614293295e-15
8839.705252,4.481124046e-15
8842.577766,4.381928017e-15
8845.45028,4.282731989e-15
8848.322794,4.212330422e-15
8851.195308,4.141928855e-15
8854.067822,4.093427749e-15
8856.940336,4.044927066e-15
8859.81285,4.013844345e-15
8862.685364,3.982762047e-15
8865.557878,3.958669042e-15
8868.430392,3.934576037e-15
8871.302906,3.928186867e-15
8874.17542,3.921798121e-15
8877.047934,3.931021039e-15
8879.920448,3.940243958e-15
8882.792962,3.951328654e-15
8885.665476,3.962412927e-15
8888.53799,3.980970149e-15
8891.410504,3.999526947e-15
8894.283018,4.04052927e-15
8897.155532,4.081531171e-15
8900.028046,4.147224082e-15
8902.90056,4.212917416e-15
8905.773074,4.28835417e-15
8908.645588,4.363791348e-15
8911.518102,4.433019351e-15
8914.390616,4.502247354e-15
8917.26313,4.5698643e-15
8920.135644,4.637481246e-15
8923.008158,4.722330654e-15
8925.880672,4.807180485e-15
8928.753186,4.89394927e-15
8931.6257,4.980718478e-15
8934.498214,5.059712347e-15
8937.370728,5.138706216e-15
8940.243242,5.212799153e-15
8943.115756,5.286892513e-15
8945.98827,5.367890885e-15
8948.860784,5.448889258e-15
8951.733298,5.547059529e-15
8954.605812,5.645229377e-15
8957.478326,5.749140415e-15
8960.35084,5.853051452e-15
8963.223354,5.963186488e-15
8966.095868,6.073321523e-15
8968.968382,6.161600144e-15
8971.840896,6.249878341e-15
8974.71341,6.291104282e-15
8977.585924,6.332330222e-15
8980.458438,6.401393054e-15
8983.330952,6.470455885e-15
8986.203466,6.605790151e-15
8989.07598,6.74112484e-15
8991.948494,6.873168382e-15
8994.821008,7.005211501e-15
8997.693522,7.095419663e-15
9000.566036,7.185626978e-15
9003.43855,7.25243162e-15
9006.311064,7.319235414e-15
9009.183578,7.375129424e-15
9012.056092,7.431023434e-15
9014.928606,7.492191919e-15
9017.80112,7.553360403e-15
9020.673634,7.644761187e-15
9023.546148,7.736162818e-15
9026.418662,7.805801632e-15
9029.291176,7.875441293e-15
9032.16369,7.867048044e-15
9035.036204,7.858654794e-15
9037.908718,7.786539256e-15
9040.781232,7.714424565e-15
9043.653746,7.615967149e-15
9046.52626,7.517510581e-15
9049.398774,7.405099144e-15
9052.271288,7.292687708e-15
9055.143802,7.151889656e-15
9058.016316,7.011092028e-15
9060.88883,6.870227907e-15
9063.761344,6.729364211e-15
9066.633858,6.623117057e-15
9069.506372,6.516870326e-15
9072.378886,6.435258701e-15
9075.2514,6.3536475e-15
9078.123914,6.29644186e-15
9080.996428,6.239236643e-15
9083.868942,6.186663002e-15
9086.741456,6.134089361e-15
9089.61397,6.063682288e-15
9092.486484,5.993275639e-15
