Wavelength,Flux
3494.746,2.184404162e-15
3496.861697,2.193690396e-15
3498.977394,2.202976418e-15
3501.093091,2.405354189e-15
3503.208788,2.607731959e-15
3505.324485,2.504818515e-15
3507.440182,2.401905282e-15
3509.555879,2.383028518e-15
3511.671576,2.364151965e-15
3513.787273,2.637842498e-15
3515.90297,2.911531761e-15
3518.018667,2.454484429e-15
3520.134364,1.997438156e-15
3522.250061,2.042863263e-15
3524.365758,2.088288157e-15
3526.481455,2.006965583e-15
3528.597152,1.925643008e-15
3530.712849,1.828141257e-15
3532.828546,1.730639824e-15
3534.944243,1.766579432e-15
3537.05994,1.802518511e-15
3539.175637,1.643363561e-15
3541.291334,1.484209353e-15
3543.407031,1.499255728e-15
3545.522728,1.514302527e-15
3547.638425,1.66781232e-15
3549.754122,1.821322219e-15
3551.869819,1.981464174e-15
3553.985516,2.141604858e-15
3556.101213,2.00985333e-15
3558.21691,1.878102225e-15
3560.332607,1.794389112e-15
3562.448304,1.710676105e-15
3564.564001,1.647723769e-15
3566.679698,1.584772704e-15
3568.795395,1.741878575e-15
3570.911092,1.89898307e-15
3573.026789,1.852502137e-15
3575.142486,1.806021627e-15
3577.258183,1.812548863e-15
3579.37388,1.819075887e-15
3581.489577,1.761161598e-15
3583.605274,1.703247838e-15
3585.720971,1.706827611e-15
3587.836668,1.710407807e-15
3589.952365,1.759137189e-15
3592.068062,1.807866889e-15
3594.183759,1.920399874e-15
3596.299456,2.032930531e-15
3598.415153,1.878168294e-15
3600.53085,1.723408069e-15
3602.646547,1.805920619e-15
3604.762244,1.888432004e-15
3606.877941,1.835470845e-15
3608.993638,1.782507357e-15
3611.109335,1.465594956e-15
3613.225032,1.148686261e-15
3615.340729,1.212546934e-15
3617.456426,1.276407818e-15
3619.572123,1.37005324e-15
3621.68782,1.463698661e-15
3623.803517,1.556232458e-15
3625.919214,1.648766255e-15
3628.034911,1.740191815e-15
3630.150608,1.83161621e-15
3632.266305,1.828946998e-15
3634.382002,1.826275456e-15
3636.497699,1.64071563e-15
3638.613396,1.455157711e-15
3640.729093,1.429515376e-15
3642.84479,1.403871136e-15
3644.960487,1.214936626e-15
3647.076184,1.02600508e-15
3649.191881,1.069064529e-15
3651.307578,1.112127261e-15
3653.423275,1.414877906e-15
3655.538972,1.717626116e-15
3657.654669,1.837456714e-15
3659.770366,1.957285195e-15
3661.886063,1.916825819e-15
3664.00176,1.876366443e-15
3666.117457,1.829970002e-15
3668.233154,1.783574619e-15
3670.348851,1.814933473e-15
3672.464548,1.846292115e-15
3674.580245,1.879839913e-15
3676.695942,1.913388559e-15
3678.811639,2.015810089e-15
3680.927336,2.118230348e-15
3683.043033,2.139415278e-15
3685.15873,2.160601266e-15
3687.274427,2.246646896e-15
3689.390124,2.332692526e-15
3691.505821,2.402722457e-15
3693.621518,2.472749212e-15
3695.737215,2.32997948e-15
3697.852912,2.187213347e-15
3699.968609,2.253113781e-15
3702.084306,2.319015697e-15
3704.200003,2.470415213e-15
3706.3157,2.621810917e-15
3708.431397,2.555822604e-15
3710.547094,2.489833231e-15
3712.662791,2.36122589e-15
3714.778488,2.23262003e-15
3716.894185,2.186177002e-15
3719.009882,2.139734609e-15
3721.125579,2.135059622e-15
3723.241276,2.130383365e-15
3725.356973,2.047585683e-15
3727.47267,1.9647916e-15
3729.588367,2.066214267e-15
3731.704064,2.167635027e-15
3733.819761,2.160921444e-15
3735.935458,2.154205108e-15
3738.051155,2.004237501e-15
3740.166852,1.854270106e-15
3742.282549,1.701005424e-15
3744.398246,1.547743388e-15
3746.513943,1.520851574e-15
3748.62964,1.493958172e-15
3750.745337,1.39258421e-15
3752.861034,1.291211519e-15
3754.976731,1.256952848e-15
3757.092428,1.222695765e-15
3759.208125,1.264660213e-15
3761.323822,1.306623389e-15
3763.439519,1.290241349e-15
3765.555216,1.273857614e-15
3767.670913,1.185964711e-15
3769.78661,1.098072231e-15
3771.902307,1.03050039e-15
3774.018004,9.629318302e-16
3776.133701,1.043678846e-15
3778.249398,1.124424697e-15
3780.365095,1.158349425e-15
3782.480792,1.192273624e-15
3784.596489,1.205959559e-15
3786.712186,1.219642741e-15
3788.827883,1.120100805e-15
3790.94358,1.020559928e-15
3793.059277,9.64335999e-16
3795.174974,9.081147165e-16
3797.290671,9.637834159e-16
3799.406368,1.019450951e-15
3801.522065,1.032675147e-15
3803.637762,1.045899237e-15
3805.753459,1.0599927e-15
3807.869156,1.074087964e-15
