Wavelength,Flux
3200,1.744538386e-14
3201.33017,1.661076163e-14
3202.66034,1.577613941e-14
3203.99051,1.537847439e-14
3205.32068,1.498080766e-14
3206.65085,1.456197189e-14
3207.98102,1.414313528e-14
3209.31119,1.456784861e-14
3210.64136,1.499256109e-14
3211.97153,1.523940513e-14
3213.3017,1.548624916e-14
3214.63187,1.558882994e-14
3215.96204,1.56914141e-14
3217.29221,1.63455048e-14
3218.62238,1.69995938e-14
3219.95255,1.721329683e-14
3221.28272,1.742699816e-14
3222.61289,1.670992548e-14
3223.94306,1.599285618e-14
3225.27323,1.562927915e-14
3226.6034,1.526570381e-14
3227.93357,1.521267277e-14
3229.26374,1.515964173e-14
3230.59391,1.50738915e-14
3231.92408,1.498814466e-14
3233.25425,1.582715282e-14
3234.58442,1.666615759e-14
3235.91459,1.706112228e-14
3237.24476,1.745608358e-14
3238.57493,1.704414435e-14
3239.9051,1.663220512e-14
3241.23527,1.622989835e-14
3242.56544,1.582759328e-14
3243.89561,1.557103208e-14
3245.22578,1.531447258e-14
3246.55595,1.525694888e-14
3247.88612,1.519942687e-14
3249.21629,1.52776402e-14
3250.54646,1.535585014e-14
3251.87663,1.521234243e-14
3253.2068,1.506883641e-14
3254.53697,1.513065965e-14
3255.86714,1.51924812e-14
3257.19731,1.517989598e-14
3258.52748,1.516730568e-14
3259.85765,1.472399405e-14
3261.18782,1.428068581e-14
3262.51799,1.427322175e-14
3263.84816,1.426576278e-14
3265.17833,1.464273818e-14
3266.5085,1.50197085e-14
3267.83867,1.511362921e-14
3269.16884,1.5207555e-14
3270.49901,1.558640234e-14
3271.82918,1.596524799e-14
3273.15935,1.622295946e-14
3274.48952,1.648066246e-14
3275.81969,1.605844364e-14
3277.14986,1.563622821e-14
3278.48003,1.551180584e-14
3279.8102,1.538739026e-14
3281.14037,1.573193954e-14
3282.47054,1.607648544e-14
3283.80071,1.616453451e-14
3285.13088,1.62525802e-14
3286.46105,1.60633649e-14
3287.79122,1.58741479e-14
3289.12139,1.561755621e-14
3290.45156,1.536096622e-14
3291.78173,1.52404131e-14
3293.1119,1.511986845e-14
3294.44207,1.542843747e-14
3295.77224,1.573700649e-14
3297.10241,1.605262622e-14
3298.43258,1.636824255e-14
3299.76275,1.647833481e-14
3301.09292,1.658842707e-14
3302.42309,1.674358995e-14
3303.75326,1.689874775e-14
3305.08343,1.677065096e-14
3306.4136,1.664255925e-14
3307.74377,1.676047132e-14
3309.07394,1.687838339e-14
3310.40411,1.708502216e-14
3311.73428,1.729165246e-14
3313.06445,1.699513333e-14
3314.39462,1.669861759e-14
3315.72479,1.663884755e-14
3317.05496,1.65790826e-14
3318.38513,1.687744149e-14
3319.7153,1.71757919e-14
3321.04547,1.713446855e-14
3322.37564,1.709314012e-14
3323.70581,1.683229294e-14
3325.03598,1.657144745e-14
3326.36615,1.644184294e-14
3327.69632,1.631224181e-14
3329.02649,1.632629578e-14
3330.35666,1.634035823e-14
3331.68683,1.65885626e-14
3333.017,1.683676358e-14
3334.34717,1.694903102e-14
3335.67734,1.706129507e-14
3337.00751,1.700966164e-14
3338.33768,1.695803667e-14
3339.66785,1.719842801e-14
3340.99802,1.743881427e-14
3342.32819,1.752109505e-14
3343.65836,1.760338091e-14
3344.98853,1.785433814e-14
3346.3187,1.810528859e-14
3347.64887,1.821397478e-14
3348.97904,1.83226491e-14
3350.30921,1.796467096e-14
3351.63938,1.760669789e-14
3352.96955,1.740998635e-14
3354.29972,1.72132765e-14
3355.62989,1.707534735e-14
3356.96006,1.693742159e-14
3358.29023,1.69185768e-14
3359.6204,1.689973709e-14
3360.95057,1.702843697e-14
3362.28074,1.715713685e-14
3363.61091,1.7252445e-14
3364.94108,1.734775484e-14
3366.27125,1.752937056e-14
3367.60142,1.771097781e-14
3368.93159,1.757934381e-14
3370.26176,1.74477132e-14
3371.59193,1.744904981e-14
3372.9221,1.745039151e-14
3374.25227,1.766112654e-14
3375.58244,1.787184631e-14
3376.91261,1.762638294e-14
3378.24278,1.738092634e-14
3379.57295,1.73804825e-14
3380.90312,1.738004712e-14
3382.23329,1.764635936e-14
3383.56346,1.791266483e-14
3384.89363,1.794077277e-14
3386.2238,1.796887732e-14
3387.55397,1.790071827e-14
3388.88414,1.783256092e-14
3390.21431,1.780577774e-14
3391.54448,1.777899795e-14
3392.87465,1.788154145e-14
3394.20482,1.798407987e-14
3395.53499,1.796960577e-14
3396.86516,1.795512998e-14
3398.19533,1.790853469e-14
3399.5255,1.786194958e-14
3400.85567,1.809438897e-14
3402.18584,1.832681989e-14
3403.51601,1.837487207e-14
3404.84618,1.842291239e-14
3406.17635,1.818208568e-14
3407.50652,1.794126405e-14
3408.83669,1.788473646e-14
3410.16686,1.782821056e-14
3411.49703,1.782761764e-14
3412.8272,1.782702641e-14
3414.15737,1.786757896e-14
3415.48754,1.79081332e-14
3416.81771,1.798489471e-14
3418.14788,1.806165284e-14
3419.47805,1.807520876e-14
3420.80822,1.808875959e-14
3422.13839,1.799541656e-14
3423.46856,1.790207522e-14
3424.79873,1.785624905e-14
3426.1289,1.781042964e-14
3427.45907,1.789338466e-14
3428.78924,1.797633799e-14
