Wavelength,Flux
3208.746,1.029723131e-15
3210.242411,2.101744546e-15
3211.738822,3.173765961e-15
3213.235233,6.587947825e-15
3214.731644,1.000212927e-14
3216.228055,1.052385159e-14
3217.724466,1.104557475e-14
3219.220877,1.018247359e-14
3220.717288,9.319373276e-15
3222.213699,1.085250376e-14
3223.71011,1.238563339e-14
3225.206521,8.599383412e-15
3226.702932,4.813133433e-15
3228.199343,2.211452677e-15
3229.695754,-3.902266759e-16
3231.192165,1.690935049e-15
3232.688576,3.772095212e-15
3234.184987,2.058744071e-15
3235.681398,3.453945984e-16
3237.177809,2.429481922e-15
3238.67422,4.513567949e-15
3240.170631,3.147566385e-15
3241.667042,1.781566304e-15
3243.163453,3.059325246e-15
3244.659864,4.337083129e-15
3246.156275,3.791448644e-15
3247.652686,3.245813525e-15
3249.149097,2.108427848e-15
3250.645508,9.710442882e-16
3252.141919,2.944177681e-15
3253.63833,4.917310015e-15
3255.134741,5.624423707e-15
3256.631152,6.331537399e-15
3258.127563,6.645579523e-15
3259.623974,6.959619953e-15
3261.120385,4.993248213e-15
3262.616796,3.026877954e-15
3264.113207,3.433691574e-15
3265.609618,3.840504981e-15
3267.106029,4.042849717e-15
3268.60244,4.24519403e-15
3270.098851,3.766882995e-15
3271.595262,3.288571536e-15
3273.091673,2.774443501e-15
3274.588084,2.260316737e-15
3276.084495,2.979733159e-15
3277.580906,3.699147888e-15
3279.077317,2.873992107e-15
3280.573728,2.048836751e-15
3282.070139,1.784595717e-15
3283.56655,1.520356801e-15
3285.062961,3.169456469e-15
3286.559372,4.81855402e-15
3288.055783,4.640489907e-15
3289.552194,4.462423253e-15
3291.048605,2.564165666e-15
3292.545016,6.659103569e-16
3294.041427,7.153904747e-16
3295.537838,7.648712808e-16
3297.034249,1.363754068e-15
3298.53066,1.962637172e-15
3300.027071,2.863163003e-15
3301.523482,3.76368714e-15
3303.019893,3.628500681e-15
3304.516304,3.493315493e-15
3306.012715,4.263187127e-15
3307.509126,5.033057491e-15
3309.005537,4.608502978e-15
3310.501948,4.183948889e-15
3311.998359,3.963115541e-15
3313.49477,3.742280923e-15
3314.991181,2.882671866e-15
3316.487592,2.023065773e-15
3317.984003,2.776351867e-15
3319.480414,3.529637537e-15
3320.976825,3.958913411e-15
3322.473236,4.388188014e-15
3323.969647,4.066700894e-15
3325.466058,3.745214198e-15
3326.962469,3.882840535e-15
3328.45888,4.020466872e-15
3329.955291,4.19432716e-15
3331.451702,4.368185331e-15
3332.948113,3.503016138e-15
3334.444524,2.637848216e-15
3335.940935,2.595826699e-15
3337.437346,2.553805818e-15
3338.933757,2.833699597e-15
3340.430168,3.113594011e-15
3341.926579,3.567079358e-15
3343.42299,4.020562586e-15
3344.919401,3.564705548e-15
3346.415812,3.108849356e-15
3347.912223,3.228974722e-15
3349.408634,3.349100087e-15
3350.905045,3.387782811e-15
3352.401456,3.426465747e-15
3353.897867,3.639214377e-15
3355.394278,3.851961102e-15
3356.890689,3.395740262e-15
3358.3871,2.939520059e-15
3359.883511,2.85512339e-15
3361.379922,2.770726933e-15
3362.876333,2.784000998e-15
3364.372744,2.797275275e-15
3365.869155,2.836417302e-15
3367.365566,2.875559965e-15
3368.861977,3.08086487e-15
3370.358388,3.286170622e-15
3371.854799,3.760365923e-15
3373.35121,4.234559531e-15
3374.847621,4.019195052e-15
3376.344032,3.803830996e-15
3377.840443,3.63827163e-15
3379.336854,3.47271417e-15
